P31213
Q8WXX7
Q96LT7
O00483
Q9P2L0
Q2I0M5
Q15555
Q9UIR0
Q9UBB4
Q9HC96
P58743
Q08828
P09848
Q9Y467
Q9UHK6
Q86WG5
A5D8V7
Q12887
Q13496
P78562
P53985
Q9P0W8
O95935
Q8N100
O00358
P55895
P23434
Q9P2X0
Q9Y5Q5
Q96F25
Q69YQ0
O95832
Q96MC2
Q8TC12
O95970
Q8TD43
Q8WW38
P56645
Q9NR50
Q9UQQ2
Q7RTU4
Q96RL7
Q14032
Q96CU9
P20908
Q96G30
Q86X52
Q96AQ7
O15239
Q9Y2T1
Q9H257
Q96H72
Q0VG99
P25092
P48509
Q14693
Q9BX79
Q9NZW4
O43766
P30279
O76090
Q8IWT6
Q9NXL9
O60312
Q86SU0
P33991
Q9P2K1
Q8IVL5
O15160
Q9H9P8
P12110
P36021
Q96N76
Q96JI7
Q4LDG9
Q9H2A9
Q8IYA6
P05186
Q10469
P35573
Q5T011
Q3MUY2
P54845
P51788
Q9NPP4
Q13515
P78386
Q92887
Q9NQZ6
Q92626
Q8N302
Q9HC84
P51654
Q9UJ55
Q9NZA1
Q96PV0
Q9UMR3
O95479
Q92911
P78549
O95477
O95528
Q9Y6B6
Q9NZV5
P78385
Q14204
Q9H2I8
Q9BZV2
Q8IU89
Q13064
Q9Y2B1
Q9UMX6
P00846
Q96S37
O60308
Q5TAT6
P43699
Q8N3I7
Q9NQW8
Q3ZAQ7
Q6IQ55
Q9UNW1
P03905
O75190
Q0ZLH3
Q96FT9
Q9BZD2
P48051
Q9GZU1
Q3MJ13
Q16720
O00623
Q71RS6
Q0VF96
Q86VQ0
Q9HCJ1
Q9P2H3
O15270
Q14533
O43364
O00567
A6NGG8
Q9H582
Q96NT5
Q08397
O43895
P32189
P55344
Q8NB59
Q7Z6B7
Q9NZN9
O60733
Q9BYE0
Q9UPZ3
O96033
Q6N022
O76094
Q8NC96
Q9UI47
Q8IU80
O43505
Q9H1V8
Q8NEW7
Q8NEC5
Q9NPJ1
Q7Z3G6
P78509
P04001
Q96JQ0
Q6NT55
Q5VWK5
Q6KC79
Q96S06
Q96JG9
O00462
P46977
O00217
A6NFY7
Q14938
Q9Y2Z2
Q7Z333
P49821
P54840
P49961
Q00597
O15198
Q96MI9
P35548
Q99612
Q9Y6X0
P57082
Q5T7V8
Q06495
Q9BYT9
P23109
O60687
P78411
Q9BSH4
Q9NPD5
Q01432
O43186
Q86SQ7
Q9BVA0
Q1HG44
Q15738
Q96M63
Q99456
Q9BX67
Q96EU7
Q92765
